Age,Gender,Phn,E-mail
546,M,9809876565,123@gmail.com
46,f,980987656523,a@yahoo.in
5,Male,9999999999,98
23,Female,765431234567,234@mec.in
09,Other,87678909876,bghj
098,M,9809565,3@gmail.com
6,M,89876565,xyz3@gmail.com
4,M,9809876565,123@gmail.com
45,fem,9876565,123@gmail.com
76,M,9809865,3@yahooo
896,M,9876565,123@gmail.com
3,M,98098765,123@gmail.com
09,M,9999999999,123@gil.com
34,Mal,98765468bj,123@gmail.com
72,M,8709876565,123@gmail.com
87,M,654321467,123@gmail.com
12,m,654321897,123@gmail.com
12,M,98098,123@gmail.com
87,f,980,123@gmail.com
09,M,6565,123@mail.com
100,M,0,123@gl.com
110,M,98076565,123@gail.com
09,M,9809876565,123@gmail.com
23,M,9809876565,123@gmail
